id,url,title,price,latitude,longitude,metro_name,metro_distance,distanceType,update_time,metro_distance_coords
358075351,https://arenda.mirkvartir.ru/358075351/,"2-комн. квартира, 44 м2, 1/5 этаж",35000,59.82576752,30.2119236,Проспект Ветеранов,,0.0,2026-03-26T04:05:04.277,0.042990485233090105
358494960,https://arenda.mirkvartir.ru/358494960/,"3-комн. квартира, 67 м2, 2/10 этаж",60000,59.99025767167163,30.19680886000623,Беговая,,0.0,2026-03-18T23:54:36.043,0.006386197636008917
358697561,https://arenda.mirkvartir.ru/358697561/,"1-комн. квартира, 33 м2, 11/12 этаж",90000,59.956594161569775,30.249201206359857,Приморская,,0.0,2026-03-26T04:06:18.4,0.01688425350077711
358010892,https://arenda.mirkvartir.ru/358010892/,"3-комн. квартира, 70 м2, 9/9 этаж",55000,60.05012,30.320872,Озерки,,0.0,2026-03-26T04:06:45.65,0.012996947543558034
349212487,https://arenda.mirkvartir.ru/349212487/,"1-комн. квартира, 50 м2, 9/12 этаж",35000,59.89013,30.274616,Нарвская,,0.0,2025-08-30T09:14:29,0.010976123808063822
350553783,https://arenda.mirkvartir.ru/350553783/,"Студия, 25 м2, 10/20 этаж",28999,59.87923431,30.41877937,Елизаровская,,0.0,2026-04-02T07:00:05.953,0.018163507531891665
358012072,https://arenda.mirkvartir.ru/358012072/,"3-комн. квартира, 60 м2, 1/9 этаж",59900,59.85866547,30.23560333,Ленинский проспект,,0.0,2026-04-01T20:18:25.597,0.03343484287365153
351917068,https://arenda.mirkvartir.ru/351917068/,"1-комн. квартира, 36 м2, 10/19 этаж",31000,60.06076431,30.4442997,Девяткино,,0.0,2026-03-28T00:07:09.39,0.01053823342463909
349210692,https://arenda.mirkvartir.ru/349210692/,"1-комн. квартира, 39 м2, 4/9 этаж",41000,59.859196,30.170107,Проспект Ветеранов,,0.0,2025-08-29T16:07:51,0.08348523749148729
338917296,https://arenda.mirkvartir.ru/338917296/,"Студия, 22 м2, 2/23 этаж",32000,59.81219864,30.37369347,Купчино,,0.0,2026-04-05T00:25:14.65,0.017608982361298358
327913524,https://arenda.mirkvartir.ru/327913524/,"1-комн. квартира, 49 м2, 7/17 этаж",39000,59.859272,30.22361946,Автово,,0.0,2026-04-07T23:41:53.213,0.038675564493745936
358560135,https://arenda.mirkvartir.ru/358560135/,"2-комн. квартира, 43.8 м2, 5/9 этаж",42000,59.849808,30.384445,Проспект Славы,,0.0,2026-04-09T01:46:55.993,0.012935610770273085
358499090,https://arenda.mirkvartir.ru/358499090/,"2-комн. квартира, 55 м2, 9/9 этаж",34000,60.041669,30.4254,Девяткино,,0.0,2026-04-10T01:40:36.41,0.019117106060542254
336819580,https://arenda.mirkvartir.ru/336819580/,"Студия, 27 м2, 10/20 этаж",35000,59.83835983,30.35469246,Купчино,,0.0,2026-04-08T00:00:54.607,0.02251333962024675
