id,url,title,price,latitude,longitude,metro_name,metro_distance,distanceType,update_time
348929935,https://arenda.mirkvartir.ru/348929935/,"3-комн. квартира, 80 м2, 5/5 этаж",105000,59.987354,30.294416,Пионерская,,0.0,2025-08-26T20:20:57
349962437,https://arenda.mirkvartir.ru/349962437/,"4-комн. квартира, 170 м2, 5/5 этаж",300000,59.934032,30.340858,Лиговский проспект,,0.0,2025-09-12T19:04:29
349277934,https://arenda.mirkvartir.ru/349277934/,"2-комн. квартира, 51 м2, 4/9 этаж",50000,59.916557,30.479397,Улица Дыбенко,,0.0,2025-08-21T01:41:03
350633681,https://arenda.mirkvartir.ru/350633681/,"3-комн. квартира, 74.7 м2, 5/6 этаж",160000,59.968624,30.312634,Горьковская,,0.0,2025-09-26T07:10:00
349962462,https://arenda.mirkvartir.ru/349962462/,"3-комн. квартира, 120 м2, 2/4 этаж",330000,59.936436,30.326288,Сенная площадь,,0.0,2025-09-12T13:40:32
349279279,https://arenda.mirkvartir.ru/349279279/,"2-комн. квартира, 45.6 м2, 3/9 этаж",50000,60.021023,30.38104,Политехническая,,0.0,2025-08-30T14:47:25
349280681,https://arenda.mirkvartir.ru/349280681/,"1-комн. квартира, 34 м2, 2/14 этаж",40000,60.054146,30.32248,Озерки,,0.0,2025-08-26T19:19:09
348997535,https://arenda.mirkvartir.ru/348997535/,"1-комн. квартира, 14 м2, 2/4 этаж",39000,59.925873,30.373081,Лиговский проспект,,0.0,2025-08-26T08:14:08
347112388,https://arenda.mirkvartir.ru/347112388/,"1-комн. квартира, 41 м2, 3/10 этаж",30000,60.07327271,30.24066162,,,,2026-04-04T00:29:35.013
357489947,https://arenda.mirkvartir.ru/357489947/,"1-комн. квартира, 37 м2, 10/16 этаж",53000,59.93943787,30.22581291,Приморская,,0.0,2026-03-28T00:49:29.753
359054225,https://arenda.mirkvartir.ru/359054225/,"2-комн. квартира, 54 м2, 2/10 этаж",65000,59.87374115,30.31050491,Электросила,,0.0,2026-04-04T01:07:47.3
358183367,https://arenda.mirkvartir.ru/358183367/,"2-комн. квартира, 64 м2, 6/9 этаж",38000,59.72961426,30.47238159,,,,2026-04-09T01:34:12.6
352678525,https://arenda.mirkvartir.ru/352678525/,"2-комн. квартира, 90.5 м2, 5/17 этаж",60000,59.866685,30.386709,Международная,,0.0,2026-04-02T07:05:40.673
358559449,https://arenda.mirkvartir.ru/358559449/,"1-комн. квартира, 37.2 м2, 5/25 этаж",50000,60.033576,30.240221,,,,2026-04-10T01:36:14.533
356334476,https://arenda.mirkvartir.ru/356334476/,"Студия, 24 м2, 5/5 этаж",28000,59.75324249,30.32709694,,,,2026-04-01T19:53:22.593
353071694,https://arenda.mirkvartir.ru/353071694/,"3-комн. квартира, 77 м2, 8/10 этаж",59000,59.842919682186015,30.116210878801315,,,,2026-04-02T07:06:26.687
351362537,https://arenda.mirkvartir.ru/351362537/,"2-комн. квартира, 50 м2, 5/7 этаж",60000,59.858869,30.315688,Московская,,0.0,2026-03-27T22:55:28.787
358445281,https://arenda.mirkvartir.ru/358445281/,"1-комн. квартира, 34 м2, 17/23 этаж",33500,59.867037,30.507847,,,,2026-03-28T00:36:23.127
353395797,https://arenda.mirkvartir.ru/353395797/,"1-комн. квартира, 38.6 м2, 18/24 этаж",28500,60.03670883,30.45729065,Девяткино,,0.0,2026-04-02T07:03:19.627
357665060,https://arenda.mirkvartir.ru/357665060/,"3-комн. квартира, 126 м2, 3/8 этаж",450000,59.96007,30.256876,Приморская,,0.0,2026-03-29T02:07:33.337
353148530,https://arenda.mirkvartir.ru/353148530/,"1-комн. квартира, 55 м2, 9/24 этаж",45000,60.028109832501585,30.332043588961312,Удельная,,0.0,2026-04-08T00:02:16.983
347366655,https://arenda.mirkvartir.ru/347366655/,"2-комн. квартира, 100 м2, 4/8 этаж",115000,59.953759,30.330403,Горьковская,,0.0,2026-04-07T22:53:18.317
358483655,https://arenda.mirkvartir.ru/358483655/,"1-комн. квартира, 45 м2, 19/25 этаж",38000,60.054406,30.311772,Озерки,,0.0,2026-03-27T22:10:24.907
358482148,https://arenda.mirkvartir.ru/358482148/,"1-комн. квартира, 38 м2, 8/10 этаж",37000,60.031629,30.333475,Удельная,,0.0,2026-04-01T17:00:50.23
358444951,https://arenda.mirkvartir.ru/358444951/,"2-комн. квартира, 62.6 м2, 3/12 этаж",110000,59.89770126,30.33071709,Фрунзенская,,0.0,2026-04-09T01:23:10.99
